res_mode,N,block,eps,maxit,time_sec,iters,residual,rel_err
atomic,1000000,64,1e-8,10000,0.0402014,15,8.69791e-09,5.79861e-09
atomic,1000000,128,1e-8,10000,0.0399836,15,8.69791e-09,5.79861e-09
atomic,1000000,256,1e-8,10000,0.0400395,15,8.69791e-09,5.79861e-09
atomic,1000000,512,1e-8,10000,0.0399697,15,8.69791e-09,5.79861e-09
atomic,1000000,1024,1e-8,10000,0.0400858,15,8.69791e-09,5.79861e-09
host,1000000,64,1e-8,10000,0.12215,15,8.69791e-09,5.79861e-09
host,1000000,128,1e-8,10000,0.121571,15,8.69791e-09,5.79861e-09
host,1000000,256,1e-8,10000,0.125877,15,8.69791e-09,5.79861e-09
host,1000000,512,1e-8,10000,0.123023,15,8.69791e-09,5.79861e-09
host,1000000,1024,1e-8,10000,0.122288,15,8.69791e-09,5.79861e-09
